id,name,deptName,createdAt,updatedAt
1,"Poly temp. after 5 way valve",TW-A,"2023-06-19 14:33:31","2023-06-19 14:33:31"
2,"Poly press. after 5 way valve",TW-A,"2023-06-19 14:33:31","2023-06-19 14:33:31"
3,"Poly temp. after 3 way valve",TW-A,"2023-06-19 14:33:31","2023-06-19 14:33:31"
4,"Poly press. after 3 way valve",TW-A,"2023-06-19 14:33:31","2023-06-19 14:33:31"
5,"DOW DH5148 I Temp. (SV) (For poly pipe)",TW-A,"2023-06-19 14:33:31","2023-06-19 14:33:31"
6,"DOW DH5148 I Temp. (PV) (For poly pipe)",TW-A,"2023-06-19 14:33:31","2023-06-19 14:33:31"
7,"DOW DH5148 I Temp. (SV) (For poly pipe)",TW-B,"2023-06-19 14:33:31","2023-06-19 14:33:31"
8,"DOW DH5148 I Temp. (PV) (For poly pipe)",TW-B,"2023-06-19 14:33:31","2023-06-19 14:33:31"
